id,date,title,bv_off,page_off,start_t,end_t,band,genre,链接off,备注,bv_on,page_on,bv_n1,page_n1,bv_f1,page_f1,start_1,end_1
63,2020/09/30,needLe,BV1KiySYBEHn,1,00:00:51,00:01:31,ln,Leo/need演唱歌曲/原创歌曲,needLe,,,,,,,,,
64,2020/10/18,ステラ,BV1KiySYBEHn,2,00:01:05,00:02:02,ln,Leo/need演唱歌曲/原创歌曲,ステラ,,,,,,,,,
97,2021/01/10,霽れを待つ,BV1KizmBrEKG,4,00:00:55,00:01:39,ln,Leo/need演唱歌曲/原创歌曲,霽れを待つ,,,,,,,,,
132,2021/04/21,「1」,BV1KiySYBEHn,3,00:00:40,00:01:11,ln,Leo/need演唱歌曲/原创歌曲,「1」,,BV1Am4y1w71z,1,,,,,,
130,2021/07/07,フロムトーキョー,BV1ExWwz2ERj,2,00:00:26,00:01:04,ln,Leo/need演唱歌曲/原创歌曲,フロムトーキョー,,,,,,,,,
173,2021/09/10,流星のパルス,BV19v4y1d7Wg,2,00:01:05,00:01:54,ln,Leo/need演唱歌曲/原创歌曲,流星のパルス,,,,,,,,,
159,2021/11/18,STAGE OF SEKAI,BV1Srv6BJEm2,2,00:00:50,00:01:19,ln,Leo/need演唱歌曲/原创歌曲,STAGE OF SEKAI,,,,,,,,,
207,2022/02/18,Peaky Peaky,BV15FH4eLEMS,4,00:00:38,00:01:11,ln,Leo/need演唱歌曲/原创歌曲,Peaky Peaky,,,,,,,,,
196,2022/04/28,オーダーメイド,BV1kg6ZBAEfT,4,00:00:48,00:01:21,ln,Leo/need演唱歌曲/原创歌曲,オーダーメイド,,,,,,,,,
257,2022/07/21,てらてら,BV1KiySYBEHn,5,00:00:48,00:01:19,ln,Leo/need演唱歌曲/原创歌曲,てらてら,,,,,,,,,
236,2022/09/07,Voices,BV1xaXkYiEov,4,00:00:40,00:01:19,ln,Leo/need演唱歌曲/原创歌曲,Voices,,,,,,,,,
259,2022/11/18,the WALL,BV1H3ktYtE63,1,00:00:37,00:01:15,ln,Leo/need演唱歌曲/原创歌曲,the WALL,,,,,,,,,
310,2023/01/21,Flyway,BV1mXGnzDE8e,4,00:00:37,00:01:30,ln,Leo/need演唱歌曲/原创歌曲,Flyway,,,,,,,,,
351,2023/04/11,相生,BV1KiySYBEHn,7,00:01:00,00:01:42,ln,Leo/need演唱歌曲/原创歌曲,相生,チーズなん,,,,,,,,
375,2023/07/21,星を繋ぐ,BV15kthzAENQ,2,00:00:33,00:01:20,ln,Leo/need演唱歌曲/原创歌曲,星を繋ぐ,,,,,,,,,
383,2023/10/29,purpose,BV14ditBLEsr,2,00:00:40,00:01:26,ln,Leo/need演唱歌曲/原创歌曲,purpose,,,,,,,,,
423,2024/02/18,レグルス,BV1Vt42187c1,1,00:00:28,00:01:21,ln,Leo/need演唱歌曲/原创歌曲,レグルス,,,,,,,,,
424,2024/03/01,インテグラル,BV1hxRoY9ENd,3,00:00:59,00:01:37,ln,Leo/need演唱歌曲/原创歌曲,インテグラル,チーズなん,,,,,,,,
442,2024/04/28,すれすれ,BV1XE421P7rJ,1,00:00:48,00:01:25,ln,Leo/need演唱歌曲/原创歌曲,すれすれ,,,,,,,,,
524,2024/09/20,それでも僕らは歌うことをやめない,BV1nSPjeEEzW,4,00:00:35,00:01:30,ln,Leo/need演唱歌曲/原创歌曲,それでも僕らは歌うことをやめない,,,,,,,,,
546,2024/10/31,その音が鳴るなら,BV1sLDQYHESy,5,00:00:35,00:01:39,ln,Leo/need演唱歌曲/原创歌曲,その音が鳴るなら,,,,,,,,,
574,2025/02/06,SToRY,BV1L2fnYuEk4,2,00:00:49,00:01:24,ln,Leo/need演唱歌曲/原创歌曲,SToRY,チーズなん,,,,,,,,
605,2025/03/30,Sympathy,BV1f6RzYnEJw,5,00:00:40,00:01:25,ln,Leo/need演唱歌曲/原创歌曲,Sympathy,,,,,,,,,
646,2025/07/15,透明なパレット,BV1aqgLzzERA,4,00:00:40,00:01:39,ln,Leo/need演唱歌曲/原创歌曲,透明なパレット,,,,,,,,,
570,2025/10/19,スター,BV12SsKz6EYX,5,00:00:50,00:01:37,ln,Leo/need演唱歌曲/原创歌曲,スター,,,,,,,,,
695,2025/11/30,花結び,BV12D22BoEff,4,00:00:25,00:01:18,ln,Leo/need演唱歌曲/原创歌曲,花結び,,,,,,,,,
642,2026/02/17,このまんまでいこう,BV1zvf6BoEbS,4,00:00:35,00:01:25,ln,Leo/need演唱歌曲/原创歌曲,このまんまでいこう,,,,,,,,,
57,2020/09/30,アイドル新鋭隊,BV1X71JYwEjb,2,00:00:55,00:01:44,mmj,MORE MORE JUMP!演唱歌曲/原创歌曲,アイドル新鋭隊,,,,,,,,,
99,2020/11/19,モア！ジャンプ！モア！,BV1dUBqBZEha,2,00:00:40,00:01:25,mmj,MORE MORE JUMP!演唱歌曲/原创歌曲,モア！ジャンプ！モア！,,,,,,,,,
89,2021/01/29,Color of Drops,BV1KiySYBEHn,10,00:00:55,00:01:39,mmj,MORE MORE JUMP!演唱歌曲/原创歌曲,Color of Drops,,,,,,,,,
112,2021/03/30,天使のクローバー,BV1qKQeYtEbn,2,00:00:30,00:01:19,mmj,MORE MORE JUMP!演唱歌曲/原创歌曲,天使のクローバー,,,,,,,,,
144,2021/05/21,アイノマテリアル,BV1YLDjYvEo4,7,00:01:08,00:02:05,mmj,MORE MORE JUMP!演唱歌曲/原创歌曲,アイノマテリアル,,,,,,,,,
140,2021/08/18,アイスドロップ,BV1rf1TY1EAy,4,00:01:02,00:01:44,mmj,MORE MORE JUMP!演唱歌曲/原创歌曲,アイスドロップ,,,,,,,,,
193,2021/12/10,ワールドワイドワンダー,BV1KdGazEEgy,2,00:00:29,00:01:19,mmj,MORE MORE JUMP!演唱歌曲/原创歌曲,ワールドワイドワンダー,,,,,,,,,
209,2022/03/11,メタモリボン,BV1KiySYBEHn,11,00:00:45,00:01:27,mmj,MORE MORE JUMP!演唱歌曲/原创歌曲,メタモリボン,,,,,,,,,
211,2022/05/08,イフ,BV1DuV6z1EiS,2,00:00:40,00:01:24,mmj,MORE MORE JUMP!演唱歌曲/原创歌曲,イフ,,,,,,,,,
264,2022/08/10,パラソルサイダー,BV1KiySYBEHn,12,00:00:45,00:01:22,mmj,MORE MORE JUMP!演唱歌曲/原创歌曲,パラソルサイダー,,,,,,,,,
252,2022/10/19,DREAM PLACE,BV1KiySYBEHn,13,00:01:03,00:01:45,mmj,MORE MORE JUMP!演唱歌曲/原创歌曲,DREAM PLACE,,,,,,,,,
295,2022/11/30,フロート・プランナー,BV1KiySYBEHn,14,00:01:03,00:01:55,mmj,MORE MORE JUMP!演唱歌曲/原创歌曲,フロート・プランナー,,,,,,,,,
287,2023/02/17,私は、私達は,BV1dTwMzqETA,2,00:00:30,00:01:19,mmj,MORE MORE JUMP!演唱歌曲/原创歌曲,私は、私達は,,BV1dTwMzqETA,1,,,,,,
308,2023/04/28,ももいろの鍵,BV1YkrDYrEYE,1,00:00:40,00:01:24,mmj,MORE MORE JUMP!演唱歌曲/原创歌曲,ももいろの鍵,,,,,,,,,
374,2023/06/20,チームメイト,BV1FmHxeWE2C,4,00:01:00,00:01:40,mmj,MORE MORE JUMP!演唱歌曲/原创歌曲,チームメイト,,,,,,,,,
429,2023/10/31,はぐ,BV1ew411T7eh,1,00:00:25,00:01:04,mmj,MORE MORE JUMP!演唱歌曲/原创歌曲,はぐ,,,,,,,,,
405,2024/01/15,MOTTO!!!,BV1KiySYBEHn,15,00:01:03,00:01:59,mmj,MORE MORE JUMP!演唱歌曲/原创歌曲,MOTTO!!!,,,,,,,,,
422,2024/02/27,JUMPIN’ OVER !,BV1KiySYBEHn,16,00:00:45,00:01:21,mmj,MORE MORE JUMP!演唱歌曲/原创歌曲,JUMPIN’ OVER !,,,,,,,,,
457,2024/06/18,Supernova,BV1McgDerE4Z,2,00:00:22,00:01:02,mmj,MORE MORE JUMP!演唱歌曲/原创歌曲,Supernova,,,,,,,,,
474,2024/08/07,キラー,BV1KiySYBEHn,17,00:00:34,00:01:06,mmj,MORE MORE JUMP!演唱歌曲/原创歌曲,キラー,,,,,,,,,
498,2024/12/19,はしる! とおく! とどく! ,BV1Hvk6Y8Eht,5,00:00:15,00:00:46,mmj,MORE MORE JUMP!演唱歌曲/原创歌曲,はしる! とおく! とどく! ,,,,,,,,,
575,2025/01/31,FUN!!,BV159XMYWECg,4,00:00:45,00:01:34,mmj,MORE MORE JUMP!演唱歌曲/原创歌曲,FUN!!,,,,,,,,,
582,2025/02/10,アンチユー,BV1LTALeNECj,5,00:00:12,00:00:52,mmj,MORE MORE JUMP!演唱歌曲/原创歌曲,アンチユー,,,,,,,,,
539,2025/05/29,イレヴンス,BV1rX7VzKEm1,2,00:00:26,00:01:17,mmj,MORE MORE JUMP!演唱歌曲/原创歌曲,イレヴンス,,,,,,,,,
635,2025/07/23,ありのままのストーリーを,BV1Gb8cz7EUK,4,00:00:36,00:01:34,mmj,MORE MORE JUMP!演唱歌曲/原创歌曲,ありのままのストーリーを,,,,,,,,,
659,2025/10/21,あなたの空が泣くのなら,BV1aWyWBcERt,3,00:01:00,00:01:48,mmj,MORE MORE JUMP!演唱歌曲/原创歌曲,あなたの空が泣くのなら,,,,,,,,,
610,2025/12/29,Polar Star,BV1wSvsBfE9X,3,00:00:21,00:01:29,mmj,MORE MORE JUMP!演唱歌曲/原创歌曲,Polar Star,,,,,,,,,
683,2026/03/10,カラフルファンデーション,BV1odwvzUE6h,5,00:00:45,00:01:29,mmj,MORE MORE JUMP!演唱歌曲/原创歌曲,カラフルファンデーション,,,,,,,,,
54,2020/09/30,Ready Steady,BV1FqBvBbEov,2,00:00:45,00:01:29,vbs,Vivid BAD SQUAD演唱歌曲/原创歌曲,Ready Steady,,,,,,,,,
55,2020/12/08,Forward,BV1KiySYBEHn,18,00:00:54,00:01:38,vbs,Vivid BAD SQUAD演唱歌曲/原创歌曲,Forward,,,,,,,,,
101,2021/01/31,RAD DOGS,BV13oqQBdEgQ,4,00:00:54,00:01:43,vbs,Vivid BAD SQUAD演唱歌曲/原创歌曲,RAD DOGS,,,,,,,,,
126,2021/05/08,シネマ,BV1KiySYBEHn,19,00:00:34,00:01:08,vbs,Vivid BAD SQUAD演唱歌曲/原创歌曲,シネマ,,,,,,,,,
156,2021/07/09,Beat Eater,BV1RDBqB4EXM,2,00:00:48,00:01:39,vbs,Vivid BAD SQUAD演唱歌曲/原创歌曲,Beat Eater,,,,,,,,,
180,2021/12/29,ミライ,BV1xwBFBiE3v,4,00:00:57,00:01:43,vbs,Vivid BAD SQUAD演唱歌曲/原创歌曲,ミライ,,,,,,,,,
182,2022/02/16,Flyer!,BV1fsv6BcE81,2,00:00:42,00:01:25,vbs,Vivid BAD SQUAD演唱歌曲/原创歌曲,Flyer!,,,,,,,,,
239,2022/05/20,月光,BV1ixBiBREZu,2,00:00:32,00:01:15,vbs,Vivid BAD SQUAD演唱歌曲/原创歌曲,月光,,,,,,,,,
244,2022/05/31,Awake Now,BV1mEByBaEtj,4,00:00:48,00:01:35,vbs,Vivid BAD SQUAD演唱歌曲/原创歌曲,Awake Now,,,,,,,,,
217,2022/07/19,街,BV1fVtFzDEcm,2,00:00:40,00:01:35,vbs,Vivid BAD SQUAD演唱歌曲/原创歌曲,街,,,,,,,,,
280,2022/09/20,虚ろを扇ぐ,BV1KiySYBEHn,20,00:00:34,00:01:22,vbs,Vivid BAD SQUAD演唱歌曲/原创歌曲,虚ろを扇ぐ,,,,,,,,,
267,2022/12/19,仮死化,BV145HPeiEu8,3,00:01:07,00:02:05,vbs,Vivid BAD SQUAD演唱歌曲/原创歌曲,仮死化,,,,,,,,,
316,2023/02/19,ひつじがいっぴき,BV1F4xQeqEYn,1,00:00:42,00:01:25,vbs,Vivid BAD SQUAD演唱歌曲/原创歌曲,ひつじがいっぴき,,,,,,,,,
373,2023/06/10,下剋上,BV1A1CaYyErY,1,00:00:22,00:01:07,vbs,Vivid BAD SQUAD演唱歌曲/原创歌曲,下剋上,,,,,,,,,
356,2023/08/19,リアライズ,BV1kQmUBZESP,2,00:00:32,00:01:20,vbs,Vivid BAD SQUAD演唱歌曲/原创歌曲,リアライズ,,,,,,,,,
421,2023/10/12,CR詠ZY,BV17mvrBNEoA,2,00:00:45,00:01:27,vbs,Vivid BAD SQUAD演唱歌曲/原创歌曲,CR詠ZY,,,,,,,,,
398,2023/12/08,Beyond the way,BV17Sm9BvEMP,1,00:00:45,00:01:36,vbs,Vivid BAD SQUAD演唱歌曲/原创歌曲,Beyond the way,,,,,,,,,
404,2024/03/28,blender,BV18jJLzxE5F,2,00:01:07,00:01:52,vbs,Vivid BAD SQUAD演唱歌曲/原创歌曲,blender,,,,,,,,,
497,2024/04/30,烈火,BV1arLzzQEar,2,00:00:20,00:01:09,vbs,Vivid BAD SQUAD演唱歌曲/原创歌曲,烈火,,,,,,,,,
471,2024/07/07,ULTRA C,BV1KiySYBEHn,23,00:00:34,00:01:33,vbs,Vivid BAD SQUAD演唱歌曲/原创歌曲,ULTRA C,,,,,,,,,
478,2024/10/29,フューエル,BV11vSGY3Ep5,4,00:00:36,00:01:24,vbs,Vivid BAD SQUAD演唱歌曲/原创歌曲,フューエル,,,,,,,,,
508,2025/01/19,ヘイヴン,BV1AcwseTErt,4,00:00:45,00:01:24,vbs,Vivid BAD SQUAD演唱歌曲/原创歌曲,ヘイヴン,,,,,,,,,
576,2025/01/25,ファイアダンス,BV1TaQfYmEvx,4,00:00:45,00:01:25,vbs,Vivid BAD SQUAD演唱歌曲/原创歌曲,ファイアダンス,,,,,,,,,
634,2025/05/31,光線歌,BV1j9TCzDE2j,4,00:00:45,00:01:25,vbs,Vivid BAD SQUAD演唱歌曲/原创歌曲,光線歌,,,,,,,,,
583,2025/08/06,アクセラレイト,BV1bptAzGEAC,5,00:00:46,00:01:27,vbs,Vivid BAD SQUAD演唱歌曲/原创歌曲,アクセラレイト,,,,,,,,,
684,2025/11/20,ファイター,BV11hSnBxEvg,3,00:00:43,00:01:36,vbs,Vivid BAD SQUAD演唱歌曲/原创歌曲,ファイター,,,,,,,,,
716,2026/01/21,透過する温度,BV1Gww1ziEBw,3,00:00:35,00:01:23,vbs,Vivid BAD SQUAD演唱歌曲/原创歌曲,透過する温度,,,,,,,,,
51,2020/09/30,セカイはまだ始まってすらいない,BV1qHE9zkETZ,6,00:00:45,00:01:37,ws,Wonderlands×Showtime演唱歌曲/原创歌曲,セカイはまだ始まってすらいない,,,,,,,,,
52,2020/11/07,potatoになっていく,BV1FQ4y1M7qN,2,00:00:32,00:01:24,ws,Wonderlands×Showtime演唱歌曲/原创歌曲,potatoになっていく,,,,,,,,,
103,2020/12/20,ニジイロストーリーズ,BV1xQHeeQEHT,4,00:00:50,00:01:24,ws,Wonderlands×Showtime演唱歌曲/原创歌曲,ニジイロストーリーズ,,,,,,,,,
105,2021/02/28,ワンスアポンアドリーム,BV1iKPgeWEoQ,2,00:00:43,00:01:35,ws,Wonderlands×Showtime演唱歌曲/原创歌曲,ワンスアポンアドリーム,,,,,,,,,
127,2021/06/19,トンデモワンダーズ,BV1pG4y1R7Z8,35,00:00:10,00:00:58,ws,Wonderlands×Showtime演唱歌曲/原创歌曲,トンデモワンダーズ,,,,,,,,,
166,2021/08/20,Glory Steady Go!,BV1uXW4zKE4f,5,00:00:45,00:01:37,ws,Wonderlands×Showtime演唱歌曲/原创歌曲,Glory Steady Go!,,,,,,,,,
160,2021/10/29,ショウタイム·ルーラー,BV1MDvKzKEgV,2,00:00:44,00:01:43,ws,Wonderlands×Showtime演唱歌曲/原创歌曲,ショウタイム·ルーラー,,,,,,,,,
178,2022/01/19,にっこり^^調査隊のテーマ,BV1c5KazREqd,3,00:00:46,00:01:32,ws,Wonderlands×Showtime演唱歌曲/原创歌曲,にっこり^^調査隊のテーマ,,,,,,,,,
224,2022/04/11,88☆彡,BV1imRTYxEH7,2,00:00:03,00:00:58,ws,Wonderlands×Showtime演唱歌曲/原创歌曲,88☆彡,,,,,,,,,
212,2022/06/28,星空のメロディー,BV13nrZBJESu,2,00:00:43,00:01:37,ws,Wonderlands×Showtime演唱歌曲/原创歌曲,星空のメロディー,,,,,,,,,
282,2023/01/19,星空オーケストラ,BV1jb9iYMErm,2,00:00:17,00:00:50,ws,Wonderlands×Showtime演唱歌曲/原创歌曲,星空オーケストラ,,,,,,,,,
333,2023/03/11,Mr. Showtime,BV1KiySYBEHn,28,00:00:48,00:01:19,ws,Wonderlands×Showtime演唱歌曲/原创歌曲,Mr. Showtime,,,,,,,,,
324,2023/05/29,箱庭のコラル,BV1PCqAB3EHd,2,00:00:45,00:01:30,ws,Wonderlands×Showtime演唱歌曲/原创歌曲,箱庭のコラル,,,,,,,,,
386,2023/08/21,キラピピ★キラピカ,BV1aKUuY6EeF,2,00:00:50,00:01:33,ws,Wonderlands×Showtime演唱歌曲/原创歌曲,キラピピ★キラピカ,,,,,,,,,
397,2023/11/28,フィラメントフィーバー,BV1acfmBPEwp,2,00:00:46,00:01:32,ws,Wonderlands×Showtime演唱歌曲/原创歌曲,フィラメントフィーバー,,,,,,,,,
452,2024/01/23,サイバーパンクデッドボーイ,BV1byt4zLEu2,2,00:00:42,00:01:31,ws,Wonderlands×Showtime演唱歌曲/原创歌曲,サイバーパンクデッドボーイ,,,,,,,,,
411,2024/02/09,世界を照らすテトラッド,BV1bsmrY9E3C,2,00:00:45,00:01:32,ws,Wonderlands×Showtime演唱歌曲/原创歌曲,世界を照らすテトラッド,,,,,,,,,
450,2024/05/29,オペラ！スペースオペラ！,BV1biQ6YwELi,2,00:00:38,00:01:27,ws,Wonderlands×Showtime演唱歌曲/原创歌曲,オペラ！スペースオペラ！,,,,,,,,,
472,2024/07/15,成敗いたAAAAAす！,BV1rmFpzUEDu,2,00:00:41,00:01:28,ws,Wonderlands×Showtime演唱歌曲/原创歌曲,成敗いたAAAAAす！,,BV1rmFpzUEDu,1,,,,,,
548,2024/11/20,ぼくのかみさま,BV1H9UyYxEN9,4,00:00:20,00:00:55,ws,Wonderlands×Showtime演唱歌曲/原创歌曲,ぼくのかみさま,,BV1H9UyYxEN9,3,,,,,,
577,2025/02/03,スマイル*シンフォニー,BV1RqNhe2Ejv,6,00:00:45,00:01:32,ws,Wonderlands×Showtime演唱歌曲/原创歌曲,スマイル*シンフォニー,,,,,,,,,
538,2025/04/28,オールセーブチャレンジ,BV1JxLDzaEYS,5,00:00:40,00:01:22,ws,Wonderlands×Showtime演唱歌曲/原创歌曲,オールセーブチャレンジ,,,,,,,,,
560,2025/07/13,アイリッド,BV1FDuAzEE3m,5,00:00:28,00:01:02,ws,Wonderlands×Showtime演唱歌曲/原创歌曲,アイリッド,,,,,,,,,
649,2025/08/30,サヨナラ天国また来て地獄,BV18oaUznEHU,4,00:00:31,00:01:12,ws,Wonderlands×Showtime演唱歌曲/原创歌曲,サヨナラ天国また来て地獄,,,,,,,,,
600,2025/11/17,征け,BV1XfCBBBEhC,6,00:00:54,00:01:33,ws,Wonderlands×Showtime演唱歌曲/原创歌曲,征け,,,,,,,,,
660,2026/02/19,とびだせ！わんだぴょい,BV1cbAkzLEnF,4,00:00:38,00:01:26,ws,Wonderlands×Showtime演唱歌曲/原创歌曲,とびだせ！わんだぴょい,,,,,,,,,
735,2026/03/30,傀儡のうつつ,BV1HiDiBwEdg,4,00:00:55,00:01:41,ws,Wonderlands×Showtime演唱歌曲/原创歌曲,傀儡のうつつ,,,,,,,,,
60,2020/09/30,悔やむと書いてミライ,BV1KiySYBEHn,30,00:00:48,00:01:26,25,25点，Nightcord见。演唱歌曲/原创歌曲,悔やむと書いてミライ,,,,,,,,,
61,2020/10/15,携帯恋話,BV1KiySYBEHn,31,00:00:55,00:01:40,25,25点，Nightcord见。演唱歌曲/原创歌曲,携帯恋話,,,,,,,,,
62,2020/10/20,ジャックポットサッドガール,BV1e7HqekEyZ,2,00:00:25,00:01:03,25,25点，Nightcord见。演唱歌曲/原创歌曲,ジャックポットサッドガール,,,,,,,,,
90,2021/02/26,限りなく灰色へ,BV1ui4y1K7sX,1,00:00:55,00:01:42,25,25点，Nightcord见。演唱歌曲/原创歌曲,限りなく灰色へ,,,,,,,,,
116,2021/04/19,アイディスマイル,BV188411x7zx,1,00:00:21,00:01:06,25,25点，Nightcord见。演唱歌曲/原创歌曲,アイディスマイル,,,,,,,,,
149,2021/06/21,カナデトモスソラ,BV1ZqByBJERn,4,00:00:37,00:01:31,25,25点，Nightcord见。演唱歌曲/原创歌曲,カナデトモスソラ,,,,,,,,,
